Round,ExpertID,DataType,Role,Field,InterviewMode,EvidenceStatus,M1,M2,M3,M4,M5,M6,M7,M8,M9,KeyConcern,UseForCalibration,UseForPublicationResult,UseForWorkflowTesting
Round2,SIM_E01,Simulated,BME experimental researcher,Biomedical Engineering,In-person mock interview,Literature-informed placeholder,0.1795,0.077,0.147,0.1765,0.113,0.0635,0.1105,0.0765,0.0565,Figures/raw data/method controls should dominate biomedical experimental assessment. Delphi Round 2 note: revised after seeing anonymized aggregate feedback.,No,No,Yes
Round2,SIM_E02,Simulated,Biostatistician,Biostatistics,Zoom mock interview,Literature-informed placeholder,0.108,0.116,0.212,0.1765,0.1195,0.0765,0.0975,0.057,0.037,Statistical consistency and data availability should carry high weight. Delphi Round 2 note: revised after seeing anonymized aggregate feedback.,No,No,Yes
Round2,SIM_E03,Simulated,Journal editor,Publishing ethics,Online survey,Literature-informed placeholder,0.134,0.0835,0.134,0.144,0.087,0.0895,0.1755,0.0895,0.063,Formal notices and publication-record status guide C4-C7 boundaries. Delphi Round 2 note: revised after seeing anonymized aggregate feedback.,No,No,Yes
Round2,SIM_E04,Simulated,Research integrity officer,Research compliance,In-person mock interview,Literature-informed placeholder,0.121,0.077,0.1275,0.1505,0.0935,0.0635,0.1625,0.109,0.0955,"C5/C6 require official wording, identity confirmation, and clear responsibility. Delphi Round 2 note: revised after seeing anonymized aggregate feedback.",No,No,Yes
Round2,SIM_E05,Simulated,Image integrity specialist,Image integrity,Zoom mock interview,Literature-informed placeholder,0.2185,0.0705,0.121,0.17,0.0935,0.057,0.117,0.083,0.0695,Image anomalies are key in life sciences but do not alone prove intent. Delphi Round 2 note: revised after seeing anonymized aggregate feedback.,No,No,Yes
Round2,SIM_E06,Simulated,Clinical researcher,Clinical research,In-person mock interview,Literature-informed placeholder,0.0885,0.142,0.1925,0.17,0.139,0.0895,0.0975,0.0505,0.0305,"Clinical articles require stronger attention to tables, statistics, and design. Delphi Round 2 note: revised after seeing anonymized aggregate feedback.",No,No,Yes
Round2,SIM_E07,Simulated,Meta-research scholar,Meta-research,Online survey,Literature-informed placeholder,0.134,0.0835,0.1405,0.1505,0.087,0.07,0.1755,0.1025,0.0565,Database evidence helps organize patterns but requires source context. Delphi Round 2 note: revised after seeing anonymized aggregate feedback.,No,No,Yes
Round2,SIM_E08,Simulated,Senior peer reviewer,Biomedical peer review,Zoom mock interview,Literature-informed placeholder,0.147,0.0965,0.16,0.1635,0.1195,0.096,0.104,0.0635,0.05,"Methods, statistics, and conclusion boundaries should be jointly assessed. Delphi Round 2 note: revised after seeing anonymized aggregate feedback.",No,No,Yes
Round2,SIM_E09,Simulated,Research data manager,Research data management,Online survey,Literature-informed placeholder,0.1275,0.0835,0.147,0.222,0.1,0.0635,0.1235,0.0765,0.0565,Raw data and repository availability are central to reproducibility. Delphi Round 2 note: revised after seeing anonymized aggregate feedback.,No,No,Yes
Round2,SIM_E10,Simulated,Ethics/compliance specialist,Research ethics,In-person mock interview,Literature-informed placeholder,0.121,0.077,0.134,0.144,0.1,0.0635,0.156,0.0895,0.115,"Responsibility attribution should remain a hard-logic condition, not simple TRS inflation. Delphi Round 2 note: revised after seeing anonymized aggregate feedback.",No,No,Yes
